"Date Time","T (degC)"
09.08.2020 13:00:00,33.04
09.08.2020 14:00:00,33.53
09.08.2020 15:00:00,33.67
09.08.2020 16:00:00,34.18
09.08.2020 17:00:00,33.09
09.08.2020 18:00:00,32.37
09.08.2020 19:00:00,30.71
09.08.2020 20:00:00,28.91
09.08.2020 21:00:00,25.85
09.08.2020 22:00:00,23.02
09.08.2020 23:00:00,21.51
10.08.2020 00:00:00,20.83
10.08.2020 01:00:00,21.95
10.08.2020 02:00:00,21.88
10.08.2020 03:00:00,19.22
10.08.2020 04:00:00,18.92
10.08.2020 05:00:00,19.92
10.08.2020 06:00:00,19.55
10.08.2020 07:00:00,19.95
10.08.2020 08:00:00,19.87
10.08.2020 09:00:00,21.92
10.08.2020 10:00:00,21.18
10.08.2020 11:00:00,20.49
10.08.2020 12:00:00,20.88
10.08.2020 13:00:00,23.51
10.08.2020 14:00:00,23.28
10.08.2020 15:00:00,23.85
10.08.2020 16:00:00,24.54
10.08.2020 17:00:00,24.85
10.08.2020 18:00:00,24.74
10.08.2020 19:00:00,24.32
10.08.2020 20:00:00,23.81
10.08.2020 21:00:00,23.29
10.08.2020 22:00:00,21.68
10.08.2020 23:00:00,21.47
11.08.2020 00:00:00,20.78
11.08.2020 01:00:00,20.37
11.08.2020 02:00:00,20.26
11.08.2020 03:00:00,19.82
11.08.2020 04:00:00,19.65
11.08.2020 05:00:00,19.24
11.08.2020 06:00:00,19.21
11.08.2020 07:00:00,20.06
11.08.2020 08:00:00,22.57
11.08.2020 09:00:00,23.71
11.08.2020 10:00:00,26.49
11.08.2020 11:00:00,28.56
11.08.2020 12:00:00,29.66
11.08.2020 13:00:00,30.67
11.08.2020 14:00:00,31.42
11.08.2020 15:00:00,27.62
11.08.2020 16:00:00,28.45
11.08.2020 17:00:00,28.33
11.08.2020 18:00:00,28.52
11.08.2020 19:00:00,27.44
11.08.2020 20:00:00,26.43
11.08.2020 21:00:00,24.78
11.08.2020 22:00:00,23.52
11.08.2020 23:00:00,21.80
12.08.2020 00:00:00,21.32
12.08.2020 01:00:00,20.29
12.08.2020 02:00:00,19.36
12.08.2020 03:00:00,18.49
12.08.2020 04:00:00,17.57
12.08.2020 05:00:00,16.70
12.08.2020 06:00:00,17.65
12.08.2020 07:00:00,19.38
12.08.2020 08:00:00,20.90
12.08.2020 09:00:00,23.84
12.08.2020 10:00:00,26.14
12.08.2020 11:00:00,29.10
12.08.2020 12:00:00,29.78
12.08.2020 13:00:00,30.81
12.08.2020 14:00:00,31.31
12.08.2020 15:00:00,32.03
12.08.2020 16:00:00,30.95
12.08.2020 17:00:00,25.17
12.08.2020 18:00:00,23.37
12.08.2020 19:00:00,24.02
12.08.2020 20:00:00,23.45
12.08.2020 21:00:00,22.51
12.08.2020 22:00:00,21.49
12.08.2020 23:00:00,20.08
13.08.2020 00:00:00,19.68
13.08.2020 01:00:00,18.87
13.08.2020 02:00:00,18.28
13.08.2020 03:00:00,18.17
13.08.2020 04:00:00,18.39
13.08.2020 05:00:00,17.37
13.08.2020 06:00:00,17.31
13.08.2020 07:00:00,19.92
13.08.2020 08:00:00,21.90
13.08.2020 09:00:00,24.72
13.08.2020 10:00:00,26.30
13.08.2020 11:00:00,28.80
13.08.2020 12:00:00,28.85
13.08.2020 13:00:00,28.42
13.08.2020 14:00:00,28.03
13.08.2020 15:00:00,26.28
13.08.2020 16:00:00,25.23
13.08.2020 17:00:00,25.79
13.08.2020 18:00:00,24.36
13.08.2020 19:00:00,24.26
13.08.2020 20:00:00,23.89
13.08.2020 21:00:00,23.78
13.08.2020 22:00:00,22.76
13.08.2020 23:00:00,22.39
14.08.2020 00:00:00,21.46
14.08.2020 01:00:00,20.50
14.08.2020 02:00:00,19.50
14.08.2020 03:00:00,19.21
14.08.2020 04:00:00,19.12
14.08.2020 05:00:00,20.05
14.08.2020 06:00:00,19.48
14.08.2020 07:00:00,20.03
14.08.2020 08:00:00,20.82
14.08.2020 09:00:00,21.65
14.08.2020 10:00:00,23.16
14.08.2020 11:00:00,24.01
14.08.2020 12:00:00,23.45
14.08.2020 13:00:00,21.95
14.08.2020 14:00:00,21.98
14.08.2020 15:00:00,23.55
14.08.2020 16:00:00,23.34
14.08.2020 17:00:00,22.65
14.08.2020 18:00:00,23.64
14.08.2020 19:00:00,22.86
14.08.2020 20:00:00,21.97
14.08.2020 21:00:00,21.38
14.08.2020 22:00:00,21.15
14.08.2020 23:00:00,20.65
15.08.2020 00:00:00,20.32
15.08.2020 01:00:00,19.76
15.08.2020 02:00:00,19.57
15.08.2020 03:00:00,19.47
15.08.2020 04:00:00,19.46
15.08.2020 05:00:00,19.23
15.08.2020 06:00:00,19.27
15.08.2020 07:00:00,19.65
15.08.2020 08:00:00,19.06
15.08.2020 09:00:00,18.40
15.08.2020 10:00:00,18.32
15.08.2020 11:00:00,18.58
15.08.2020 12:00:00,19.25